Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted,Min_Exp_Needed,Max_Exp_Needed,Min_Salary,Max_Salary,Avg_Sal
"Senior Data Engineer (Python,Pyspark, Nosql,Machine learning)",Job Fittment Finder,4-7 Yrs,"Pune, Delhi","Numpy,PySpark,Pandas,Scala Cloud,Data warehousing,SQL,MYSQL,PostgreSQL",,,,HOT JOB,5 ,4,7,,,
Data Science/analysis Expert - Machine Learning,Catalyst,2-6 Yrs,Bengaluru,"IT Skills,Python,Data Science,Machine Learning,Tableau,analytics,deep learning,algorithms",3.7,11.0,,PREMIUM,30+ ,2,6,,,
Con - ML OPS ( Machine Learning ) ( NP - 30 days only ),Pylon Management Consulting Pvt Ltd,4-6 Yrs,"Pune, Bengaluru","machine learning ops,Machine learning pipelines,Machine Learning,Python",,,,PREMIUM,1 ,4,6,,,
Tech Lead - NLP/Machine Learning Algorithms,Savantys Solutions,5-10 Yrs,"Hyderabad, Anywhere, Bengaluru","Python,Communication,IT Skills,Data Science,Machine Learning,R,NLP,Data Scientist",,,,HOT JOB,10 ,5,10,,,
Machine Learning Engineer (Computer Vision),HireHappi,7-12 Yrs,"Hyderabad, Pune, Bengaluru","Computer Vision,Machine Learning,Python,Pytorch,Tensorflow,Artificial Intelligence,Classification,Caffe",,,"15,00,000 - 25,00,000",PREMIUM,30+ ,7,12,1500000.0,2500000.0,2000000.0
Machine Learning Engineer,Salesken,4-6 Yrs,Bengaluru,"Artificial Intelligence,Natural Language Processing,Programming,Big Data,Machine Learning,Deep Learning,Python",,,"25,00,000 - 35,00,000",PREMIUM,30+ ,4,6,2500000.0,3500000.0,3000000.0
Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd.,1-6 Yrs,Bengaluru,"Visualization,Exploratory Testing,Machine Learning,PHD,Deep Learning,.,Data Structure,NLP",,,,,26 ,1,6,,,
Machine Learning Engineer - Python/Deep Learning,Mantras2Success Consultants,1-4 Yrs,Hyderabad,"Java,NLP,Artificial Intelligence,Scala,Algorithm Design,Big Data,Spark,Machine Learning",,,,HOT JOB,5 ,1,4,,,
Data Scientist - Algorithm/ Machine Learning,Ally -eXecutive HR Consulting Partner,6-9 Yrs,Bengaluru,"SPARK,BIG DATA,learning,CI / CD,RNN,AWS,TensorFlow,neural network",,,,PREMIUM,19 ,6,9,,,
Lead Data Scientist - Deep Learning/Machine Learning,Okda Solutions,2-7 Yrs,Bengaluru,"R,OpenCV,Data Scientist,Data Management,Time Series Forecasting,Distributed Systems,Machine Learning,Deep Learning",,,,PREMIUM,19 ,2,7,,,
Machine Learning/Data science trainer,Synergistic Compusoft Private Limited,4-9 Yrs,"Chennai, Bengaluru, Delhi","Data Science,Training,Machine Learning,Tableau,python,NLP,IT Skills,Natural Language Processing",,,,HOT JOB,26 ,4,9,,,
Data Science/ Analysis Expert - Machine Learning,Catalyst,2-6 Yrs,Bengaluru,"Regression Algorithms,NLP,Data Scientist,Artificial Intelligence,Data Modeling,Data Warehousing,Data Analytics,ETL",3.7,11.0,,PREMIUM,30+ ,2,6,,,
